accuracy,auc_macro_ovr,avg_batch_inference_time_sec,clutter_leakage_ratio,complexity_entropy,complexity_entropy_normalized,dataset,explanation_runtime_sec,f1_macro,faithfulness_deletion_auc,faithfulness_insertion_auc,max_sensitivity,model,model_size_mb,n_xai_samples,paper_deletion_auc,part_overlap_ratio,precision_macro,recall_macro,stability_cosine_sim,xai_method
0.9518,0.998259,0.002921,,10.275393390655518,0.9493778133487916,CIFAR10,0.11913577715555827,0.951737,0.35030292700389826,0.623650464314194,0.810561399658521,resnet18,42.654579,60,0.27935269497635606,,0.952308,0.9518,0.7768704831600189,intgrad
0.9518,0.998259,0.002921,,9.603570922215779,0.8873058982602721,CIFAR10,0.02421794335047404,0.951737,0.36343851935794114,0.7700575196089822,0.09207478578512868,resnet18,42.654579,60,0.21468637919662814,,0.952308,0.9518,0.9944648636711968,iriscam
0.9653,0.998979,0.007615,,10.192917569478352,0.9417575975783151,CIFAR10,0.6310401042302449,0.965294,0.4537999095438245,0.6631642845058177,1.2113638947407404,efficientnet,15.336449,60,0.13850621471324318,,0.965404,0.9653,0.5484242409467697,intgrad
0.9653,0.998979,0.007615,,9.392907492319743,0.867842002443968,CIFAR10,0.04407077630360921,0.965294,0.4186091422118693,0.8102178913038316,0.720291826625665,efficientnet,15.336449,60,0.3738890123472112,,0.965404,0.9653,0.6333677633298446,iriscam
0.964,0.999914,0.235027,0.14149818163322395,9.11936674118042,0.8425686615308501,FUNNYBIRDS,0.1564864675203959,0.963855,0.07298943435474696,0.8008662106335611,3.010918748378754,simplecnn,1.53437,60,0.008209314963199137,0.10673431499707535,0.968952,0.964,0.4063278800083531,intgrad
0.964,0.999914,0.235027,0.07223875282927697,8.366532103220623,0.7730117623225458,FUNNYBIRDS,0.01254721482594808,0.963855,0.06863632645995772,0.8341919222531874,0.6307030449310939,simplecnn,1.53437,60,0.03343668292004462,0.08915719335723911,0.968952,0.964,0.8216504865222506,iriscam
0.966,0.999788,0.00249,0.23666615803260344,9.89149751663208,0.9139083951399045,FUNNYBIRDS,0.6831851998964945,0.966015,0.07157284072658106,0.8103442636299413,1.0053352534770965,resnet18,42.732857,60,0.005013949562727752,0.10335825640243125,0.969136,0.966,0.677308279607031,intgrad
0.966,0.999788,0.00249,0.061216652679229926,9.877725966771443,0.9126359957877781,FUNNYBIRDS,0.026680322488149007,0.966015,0.11681220799691211,0.7844190698927275,0.5466873938838641,resnet18,42.732857,60,0.10330073859206873,0.0787403677424277,0.969136,0.966,0.8565752893686295,iriscam
0.972,0.999878,0.010587,0.23546578164339665,9.641139570871989,0.8907769908166052,FUNNYBIRDS,0.6141804218292236,0.971904,0.12302381870811233,0.8615215238785653,0.9957900981108347,efficientnet,15.531914,60,0.017289357814508167,0.10073370463619948,0.973859,0.972,0.6312794354226855,intgrad
0.972,0.999878,0.010587,0.04887973347575088,9.326872030893961,0.8617407662588017,FUNNYBIRDS,0.03126142422358195,0.971904,0.15064399196066128,0.8645775506325074,0.9143393591046334,efficientnet,15.531914,60,0.13718012363494045,0.0871124844230818,0.973859,0.972,0.44352889896231235,iriscam
0.1225,0.5223287611111112,0.006858731230226949,,9.935696951548259,0.9179921281199125,CIFAR10,0.1329495112101237,0.06780989740076157,0.09766654472246214,0.1016449806107967,1.0035025561849276,resnet50,89.75418853759766,60,0.09814770318916999,,0.10414429965858607,0.12250000000000001,0.6348970093660884,gradcam
0.1225,0.5223287611111112,0.006858731230226949,,9.23573493162791,0.8533203061628563,CIFAR10,0.13400686979293824,0.06780989740076157,0.09763110989911689,0.10171864247294486,1.1666960328817368,resnet50,89.75418853759766,60,0.09814743422431917,,0.10414429965858607,0.12250000000000001,0.49160797990950117,iriscam
0.1225,0.5223287611111112,0.006858731230226949,,10.331644264856974,0.9545750189367452,CIFAR10,1.811929714679718,0.06780989740076157,0.10005568447350352,0.09935598247857004,1.0221681495507557,resnet50,89.75418853759766,60,0.10336581193010455,,0.10414429965858607,0.12250000000000001,0.6256171759631897,intgrad
0.1225,0.5223287611111112,0.006858731230226949,,10.490570259094238,0.969258720782211,CIFAR10,18.39620743195216,0.06780989740076157,0.09997305123618357,0.0990341307181451,0.6092644860347112,resnet50,89.75418853759766,60,0.10146292979923252,,0.10414429965858607,0.12250000000000001,0.8570429788695442,shap
0.1225,0.5223287611111112,0.006858731230226949,,10.578369172414144,0.977370754762132,CIFAR10,1.8396791617075603,0.06780989740076157,0.09436075643946729,0.10369439183699862,0.8025183290243149,resnet50,89.75418853759766,60,0.09552293886718828,,0.10414429965858607,0.12250000000000001,0.7484981816675927,lime
